fips,location,svi_rpl_themes,ep_pov150,ep_uninsur,ep_noveh,ep_age65,centroid_lat,centroid_lon
04013082019,Census Tract 820.19; Maricopa County; Arizona,0.5209,8.9,5.5,3.7,17.9,33.490631,-112.306275
04013082020,Census Tract 820.20; Maricopa County; Arizona,0.2832,9.1,9.9,0.0,14.5,33.4825,-112.306728
04013082021,Census Tract 820.21; Maricopa County; Arizona,0.3069,7.3,12.7,1.3,10.5,33.487826,-112.28304
04013082022,Census Tract 820.22; Maricopa County; Arizona,0.8889,32.2,10.4,6.2,5.4,33.469629,-112.317031
04013082023,Census Tract 820.23; Maricopa County; Arizona,0.487,14.3,5.4,0.5,11.4,33.46912,-112.299323
04013082024,Census Tract 820.24; Maricopa County; Arizona,0.7961,20.0,21.4,5.8,6.6,33.469459,-112.281198
04013082025,Census Tract 820.25; Maricopa County; Arizona,0.1806,10.9,9.4,0.0,7.3,33.447836,-112.322394
04013082026,Census Tract 820.26; Maricopa County; Arizona,0.6408,18.1,9.3,2.3,7.7,33.441687,-112.314269
04013082027,Census Tract 820.27; Maricopa County; Arizona,0.7596,26.3,14.3,1.6,5.1,33.447337,-112.293582
04013082028,Census Tract 820.28; Maricopa County; Arizona,0.8477,26.4,31.7,2.6,9.8,33.469625,-112.246485
04013082204,Census Tract 822.04; Maricopa County; Arizona,0.6761,19.6,21.9,0.5,3.8,33.400866,-112.265076
04013082205,Census Tract 822.05; Maricopa County; Arizona,0.6063,19.4,18.5,1.3,3.5,33.431419,-112.246856
04013082206,Census Tract 822.06; Maricopa County; Arizona,0.4476,31.7,13.1,0.8,2.9,33.402229,-112.245464
04013082207,Census Tract 822.07; Maricopa County; Arizona,0.5114,23.3,7.7,1.3,4.5,33.396075,-112.289895
04013082208,Census Tract 822.08; Maricopa County; Arizona,0.8174,26.4,20.7,4.3,8.3,33.400579,-112.333216
04013082209,Census Tract 822.09; Maricopa County; Arizona,0.9395,33.1,15.7,18.0,19.5,33.431962,-112.297151
04013082210,Census Tract 822.10; Maricopa County; Arizona,0.7136,15.3,15.5,7.0,4.7,33.426129,-112.299923
04013082211,Census Tract 822.11; Maricopa County; Arizona,0.381,19.0,15.4,1.4,4.1,33.42795,-112.327137
04013082212,Census Tract 822.12; Maricopa County; Arizona,0.5682,18.8,13.3,0.0,6.3,33.415122,-112.283617
04013082213,Census Tract 822.13; Maricopa County; Arizona,0.4019,15.1,10.9,0.0,2.7,33.428289,-112.282665
04013083000,Census Tract 830; Maricopa County; Arizona,0.9335,45.1,10.1,11.2,22.1,33.450123,-112.261489
04013092305,Census Tract 923.05; Maricopa County; Arizona,0.9015,39.3,12.1,1.5,11.7,33.572078,-112.196954
04013092306,Census Tract 923.06; Maricopa County; Arizona,0.578,24.8,11.3,3.3,15.2,33.574003,-112.178867
04013092307,Census Tract 923.07; Maricopa County; Arizona,0.8515,27.5,15.1,21.0,23.0,33.561904,-112.17956
04013092308,Census Tract 923.08; Maricopa County; Arizona,0.8812,33.0,11.5,2.1,11.7,33.576033,-112.160691
04013092309,Census Tract 923.09; Maricopa County; Arizona,0.7671,14.1,9.5,4.3,14.9,33.56032,-112.161604
04013092311,Census Tract 923.11; Maricopa County; Arizona,0.9723,46.7,23.7,22.6,18.0,33.562007,-112.188419
04013092312,Census Tract 923.12; Maricopa County; Arizona,0.9258,22.0,15.0,20.7,20.5,33.55887,-112.198518
04013092401,Census Tract 924.01; Maricopa County; Arizona,0.8997,37.4,15.5,15.0,12.2,33.547787,-112.164878
04013092402,Census Tract 924.02; Maricopa County; Arizona,0.9757,42.4,5.5,18.2,26.6,33.546041,-112.156292
04013092500,Census Tract 925; Maricopa County; Arizona,0.9886,31.3,9.0,15.5,19.9,33.544327,-112.178901
04013092600,Census Tract 926; Maricopa County; Arizona,0.9952,31.6,23.8,5.3,5.8,33.546305,-112.195022
04013092705,Census Tract 927.05; Maricopa County; Arizona,0.8762,26.5,16.1,2.9,5.1,33.545341,-112.212499
04013092708,Census Tract 927.08; Maricopa County; Arizona,0.7689,21.7,4.9,4.8,10.8,33.55968,-112.265225
04013092709,Census Tract 927.09; Maricopa County; Arizona,0.5138,20.4,12.8,0.7,10.7,33.558928,-112.246426
04013092710,Census Tract 927.10; Maricopa County; Arizona,0.6523,14.3,23.6,1.7,11.7,33.530929,-112.245407
04013092711,Census Tract 927.11; Maricopa County; Arizona,0.8518,32.7,12.3,5.8,11.9,33.54382,-112.22941
04013092712,Census Tract 927.12; Maricopa County; Arizona,0.7913,19.3,19.2,1.9,6.7,33.532292,-112.230645
04013092713,Census Tract 927.13; Maricopa County; Arizona,0.6872,24.9,10.9,0.2,9.6,33.516914,-112.229609
04013092715,Census Tract 927.15; Maricopa County; Arizona,0.8036,18.0,16.2,2.6,6.3,33.5201,-112.21128
04013092716,Census Tract 927.16; Maricopa County; Arizona,0.9333,38.4,12.9,10.4,9.0,33.512817,-112.212823
